"coded_run","cooccur","fit","fitfilt","mu","run","sim","run_name","sym"
"3","62","0.14","0.14","0.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","68","0.21","0.21","0.1","EnvEvenSp20","0","EnvEvenSp20","0"
"3","72","0.98","0.98","0.09","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.7","0.7","0.1","EnvEvenSp20","0","EnvEvenSp20","0"
"3","80","0.79","0.79","0.17","EnvEvenSp20","0","EnvEvenSp20","0"
"3","79","0.41","0.41","0.25","EnvEvenSp20","0","EnvEvenSp20","0"
"3","79","0.61","0.61","0.29","EnvEvenSp20","0","EnvEvenSp20","0"
"3","73","'-0.21","'-0.21","0.32","EnvEvenSp20","0","EnvEvenSp20","0"
"3","70","'-0.41","'-0.41","0.22","EnvEvenSp20","0","EnvEvenSp20","0"
"3","65","'-0.82","'-0.82","0.24","EnvEvenSp20","0","EnvEvenSp20","0"
"3","59","'-0.68","'-0.68","0.33","EnvEvenSp20","0","EnvEvenSp20","0"
"3","19","'-0.2","0","'-1.34","EnvEvenSp20","0","EnvEvenSp20","0"
"3","25","'-0.18","0","'-1.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","30","'-1.14","0","'-1.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","32","'-0.65","0","'-0.85","EnvEvenSp20","0","EnvEvenSp20","0"
"3","38","'-1.16","0","'-0.61","EnvEvenSp20","0","EnvEvenSp20","0"
"3","42","'-0.78","0","'-0.48","EnvEvenSp20","0","EnvEvenSp20","0"
"3","48","'-1.03","0","'-0.32","EnvEvenSp20","0","EnvEvenSp20","0"
"3","54","'-0.38","0","'-0.17","EnvEvenSp20","0","EnvEvenSp20","0"
"3","60","'-0.29","0","'-0.06","EnvEvenSp20","0","EnvEvenSp20","0"
"3","65","'-0.37","0","'-0.02","EnvEvenSp20","0","EnvEvenSp20","0"
"3","25","'-1.27","0","'-0.78","EnvEvenSp20","0","EnvEvenSp20","0"
"3","22","'-0.48","0","'-0.85","EnvEvenSp20","0","EnvEvenSp20","0"
"3","51","'-0.57","'-0.57","'-0.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","57","'-0.33","'-0.33","0.16","EnvEvenSp20","0","EnvEvenSp20","0"
"3","31","'-1.28","0","'-0.99","EnvEvenSp20","0","EnvEvenSp20","0"
"3","76","0.98","0.98","0.18","EnvEvenSp20","0","EnvEvenSp20","0"
"3","77","0.5","0.5","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","72","0.38","0.38","0.15","EnvEvenSp20","0","EnvEvenSp20","0"
"3","70","0.38","0.38","0.24","EnvEvenSp20","0","EnvEvenSp20","0"
"3","66","0.34","0.34","0.22","EnvEvenSp20","0","EnvEvenSp20","0"
"3","62","'-0.12","0","0.21","EnvEvenSp20","0","EnvEvenSp20","0"
"3","57","'-0.69","0","0.2","EnvEvenSp20","0","EnvEvenSp20","0"
"3","50","'-0.95","0","'-0.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","45","'-0.58","0","'-0.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","40","'-0.71","0","'-0.19","EnvEvenSp20","0","EnvEvenSp20","0"
"3","28","'-0.92","0","'-0.57","EnvEvenSp20","0","EnvEvenSp20","0"
"3","35","'-0.88","0","'-0.44","EnvEvenSp20","0","EnvEvenSp20","0"
"3","23","'-1.53","0","'-1.35","EnvEvenSp20","0","EnvEvenSp20","0"
"3","40","'-1.06","0","'-0.41","EnvEvenSp20","0","EnvEvenSp20","0"
"3","48","'-0.27","0","'-0.05","EnvEvenSp20","0","EnvEvenSp20","0"
"3","52","'-0.53","0","'-0.09","EnvEvenSp20","0","EnvEvenSp20","0"
